date,service,ridership
10/9/2023,komuter,14090
11/9/2023,komuter,3289
12/9/2023,komuter,2979
13/9/2023,komuter,3235
14/9/2023,komuter,3751
15/9/2023,komuter,4884
16/9/2023,komuter,6210
17/9/2023,komuter,4497
18/9/2023,komuter,4366
19/9/2023,komuter,3923
20/9/2023,komuter,4399
21/9/2023,komuter,4537
22/9/2023,komuter,5037
23/9/2023,komuter,4502
24/9/2023,komuter,4719
25/9/2023,komuter,4890
26/9/2023,komuter,4962
27/9/2023,komuter,6082
28/9/2023,komuter,5066
29/9/2023,komuter,6490
30/9/2023,komuter,5976
1/10/2023,komuter,18262
2/10/2023,komuter,25561
3/10/2023,komuter,27267
4/10/2023,komuter,28452
5/10/2023,komuter,30035
6/10/2023,komuter,33455
7/10/2023,komuter,25285
8/10/2023,komuter,26369
9/10/2023,komuter,36828
10/10/2023,komuter,36856
11/10/2023,komuter,37317
12/10/2023,komuter,37895
13/10/2023,komuter,44988
14/10/2023,komuter,24921
15/10/2023,komuter,24758
16/10/2023,komuter,36733
17/10/2023,komuter,38776
18/10/2023,komuter,37769
19/10/2023,komuter,37661
20/10/2023,komuter,41922
21/10/2023,komuter,24058
22/10/2023,komuter,25665
23/10/2023,komuter,36749
24/10/2023,komuter,37037
25/10/2023,komuter,37270
26/10/2023,komuter,38168
27/10/2023,komuter,43381
28/10/2023,komuter,27274
29/10/2023,komuter,25195
30/10/2023,komuter,36646
31/10/2023,komuter,36121
1/11/2023,komuter,36856
2/11/2023,komuter,37921
3/11/2023,komuter,41594
4/11/2023,komuter,25570
5/11/2023,komuter,24153
6/11/2023,komuter,36545
7/11/2023,komuter,37343
8/11/2023,komuter,38477
9/11/2023,komuter,43229
10/11/2023,komuter,53486
11/11/2023,komuter,32896
12/11/2023,komuter,36503
13/11/2023,komuter,32718
14/11/2023,komuter,38163
15/11/2023,komuter,36907
16/11/2023,komuter,35585
17/11/2023,komuter,37663
18/11/2023,komuter,23774
19/11/2023,komuter,26195
20/11/2023,komuter,36882
21/11/2023,komuter,37537
22/11/2023,komuter,37553
23/11/2023,komuter,39279
24/11/2023,komuter,43242
25/11/2023,komuter,26814
26/11/2023,komuter,25762
27/11/2023,komuter,37635
28/11/2023,komuter,37531
29/11/2023,komuter,36747
30/11/2023,komuter,37149
1/12/2023,komuter,40889
2/12/2023,komuter,27262
3/12/2023,komuter,26823
4/12/2023,komuter,36828
5/12/2023,komuter,36220
6/12/2023,komuter,36564
7/12/2023,komuter,38344
8/12/2023,komuter,43076
9/12/2023,komuter,27802
10/12/2023,komuter,27875
11/12/2023,komuter,36401
12/12/2023,komuter,35918
13/12/2023,komuter,32801
14/12/2023,komuter,34868
15/12/2023,komuter,37314
16/12/2023,komuter,24661
17/12/2023,komuter,25232
18/12/2023,komuter,36118
19/12/2023,komuter,35344
20/12/2023,komuter,37250
21/12/2023,komuter,38097
22/12/2023,komuter,41332
23/12/2023,komuter,29573
24/12/2023,komuter,29439
25/12/2023,komuter,27572
26/12/2023,komuter,33355
27/12/2023,komuter,33196
28/12/2023,komuter,33260
29/12/2023,komuter,35202
30/12/2023,komuter,27081
31/12/2023,komuter,29350
1/1/2024,komuter,34988
2/1/2024,komuter,36078
3/1/2024,komuter,34433
4/1/2024,komuter,33851
5/1/2024,komuter,35228
6/1/2024,komuter,20458
7/1/2024,komuter,20445
8/1/2024,komuter,35114
9/1/2024,komuter,35024
10/1/2024,komuter,35044
11/1/2024,komuter,35674
12/1/2024,komuter,39453
13/1/2024,komuter,22522
14/1/2024,komuter,22453
15/1/2024,komuter,35750
16/1/2024,komuter,37858
17/1/2024,komuter,36039
18/1/2024,komuter,36258
19/1/2024,komuter,38650
20/1/2024,komuter,24982
21/1/2024,komuter,23963
22/1/2024,komuter,37809
23/1/2024,komuter,41494
24/1/2024,komuter,75203
25/1/2024,komuter,87676
26/1/2024,komuter,43024
27/1/2024,komuter,26720
28/1/2024,komuter,26961
29/1/2024,komuter,37343
30/1/2024,komuter,37177
31/1/2024,komuter,37312
